Sl. No,State/UT/Division,Rural Hosital (Government ) - Number,Rural Hosital (Government ) - Beds,Urban Hospitals (Government ) - Number,Urban Hospitals (Government ) - Beds,Total Hospital (Government ) - Number,Total Hospital (Government ) - Beds,Reference Period
1,India,30993,295349,10252,529885,41245,825234,NA
2,Andhra Pradesh,791,9687,5443,77034,6234,86721,31.12.2019
3,Arunachal Pradesh,208,2136,10,268,218,2404,31.12.2019
4,Assam,1178,20620,61,7419,1239,28039,31.12.2018
5,Bihar,1946,11747,186,17592,2132,29339,31.12.2019
6,Chhattisgarh,198,9200,49,410,247,9610,31.08.2020
7,Goa,18,1485,25,1601,43,3086,31.12.2019
8,Gujarat,1825,19917,420,9485,2245,29402,31.12.2019
9,Haryana,592,7015,86,5575,678,12590,30.09.2020
10,Himachal Pradesh,727,7114,95,7668,822,14782,31.12.2019
11,Jammu and Kashmir,1108,2433,167,1985,1275,4418,31.03.2020
12,Jharkhand,4371,9197,92,5694,4463,14891,31.08.2020
13,Karnataka,2467,21146,375,49328,2842,70474,31.12.2019
14,Kerala,1075,16123,209,21974,1284,38097,31.03.2020
15,Madhya Pradesh,330,9900,135,21206,465,31106,01.01.2018
16,Maharashtra,365,10950,149,22078,514,33028,31.08.2020
17,Manipur,110,1759,9,9,119,1768,31.03.2019
18,Meghalaya,140,2000,14,2467,154,4467,31.12.2019
19,Mizoram,56,574,43,1448,99,2022,31.03.2020
20,Nagaland,164,1286,13,1175,177,2461,31.12.2018
21,Odisha,1655,6339,151,12180,1806,18519,31.12.2019
22,Punjab,511,5801,305,15440,816,21241,31.07.2020
23,Rajasthan,2094,12564,755,34214,2849,46778,31.12.2019
24,Sikkim,24,260,9,2000,33,2260,31.08.2020
25,Tamil Nadu,1880,28460,627,70975,2507,99435,31.08.2020
26,Telangana,677,5094,NA,NA,677,5094,31.08.2020
27,Tripura,132,1946,23,2397,155,4343,31.12.2019
28,Uttar Pradesh,4475,40130,208,26570,4683,66700,30.09.2020
29,Uttarakhand,502,2972,116,5134,618,8106,31.12.2019
30,West Bengal,1304,26260,290,69752,1594,96012,01.01.2019
31,Andaman and Nicobar Islands,27,617,3,585,30,1202,15.09.2019
32,Chandigarh,0,0,49,3758,49,3758,31.12.2019
33,Dadra and Nagar Haveli,10,273,1,316,11,589,31.12.2019
34,Daman and Diu,0,0,4,320,4,320,31.08.2020
35,Delhi,0,0,107,27154,107,27154,31.12.2019
36,Lakshadweep,12,250,0,0,12,250,03.09.2020
37,Puducherry,21,94,23,4674,44,4768,31.03.2020
